"Timestamp","How detailed do you find the answer on a scale from 1 to 10?","Do you feel like the problem is being minimized?","On a scale from 1 to 10, did you find the answer more emotional or clinical? ","How helpful did you find the answer on a scale from 1 to 10?  ","How detailed do you find the answer on a scale from 1 to 10?","Do you feel like the problem is being minimized?","On a scale from 1 to 10, did you find the answer more emotional or clinical? ","How helpful did you find the answer on a scale from 1 to 10?  ","How detailed do you find the answer on a scale from 1 to 10?","Do you feel like the problem is being minimized?","On a scale from 1 to 10, did you find the answer more emotional or clinical? ","How helpful did you find the answer on a scale from 1 to 10?  ","How detailed do you find the answer on a scale from 1 to 10?","Do you feel like the problem is being minimized?","On a scale from 1 to 10, did you find the answer more emotional or clinical? ","How helpful did you find the answer on a scale from 1 to 10?  ","How detailed do you find the answer on a scale from 1 to 10?","Do you feel like the problem is being minimized?","On a scale from 1 to 10, did you find the answer more emotional or clinical? ","How helpful did you find the answer on a scale from 1 to 10?  "
"2024/12/11 9:22:26 pm CET","8","5","4","8","8","6","7","8","8","6","4","8","8","7","6","7","8","6","3","8"
"2024/12/11 9:51:25 pm CET","10","1","3","10","10","1","2","10","10","1","2","10","9","1","3","10","10","1","2","10"
"2024/12/11 10:13:48 pm CET","9","1","8","9","10","1","5","9","10","2","5","10","8","1","7","8","9","1","5","9"
"2024/12/11 10:14:22 pm CET","10","1","7","10","10","1","6","10","10","1","5","10","7","1","8","7","9","1","7","8"
"2024/12/11 10:56:58 pm CET","8","6","4","7","8","3","7","5","9","6","3","8","8","4","5","4","8","4","4","4"
"2024/12/11 11:19:20 pm CET","8","2","2","9","9","2","2","9","8","2","2","8","8","2","9","9","8","2","7","8"
"2024/12/11 11:36:44 pm CET","1","3","4","","7","4","4","6","2","9","8","9","4","3","4","5","9","3","1","7"
"2024/12/11 11:52:22 pm CET","10","9","6","8","8","9","4","9","8","8","5","10","6","5","7","6","7","6","3","8"
"2024/12/11 11:57:41 pm CET","10","4","4","10","8","2","7","9","10","10","8","10","6","4","6","6","9","3","4","8"
"2024/12/11 11:59:33 pm CET","10","8","5","3","9","2","8","9","10","3","3","10","2","5","9","5","10","1","1","3"
"2024/12/12 1:10:51 am CET","6","2","5","7","10","3","1","8","9","4","6","8","4","6","8","4","10","3","2","8"
"2024/12/12 6:53:57 am CET","9","9","2","9","9","8","2","9","9","8","2","9","9","8","2","9","9","8","2","8"
"2024/12/12 8:38:46 am CET","9","2","2","9","7","4","4","7","9","2","2","9","6","4","4","7","8","3","3","8"
"2024/12/12 9:38:55 am CET","9","2","2","9","9","2","2","9","8","4","4","8","8","3","3","8","9","2","2","9"
"2024/12/12 9:39:28 am CET","10","3","4","7","8","2","3","6","7","4","4","6","7","1","5","8","8","3","5","9"
"2024/12/12 11:25:26 am CET","8","7","4","8","8","6","2","8","8","3","3","9","8","4","4","6","8","1","1","8"
"2024/12/12 11:44:50 am CET","9","2","3","9","8","3","4","8","9","3","3","8","5","6","5","6","9","1","2","9"
"2024/12/12 12:31:02 pm CET","8","8","6","8","8","5","4","6","9","7","7","8","4","5","6","4","8","6","7","8"
"2024/12/12 1:21:13 pm CET","9","1","4","9","8","2","2","8","9","2","3","8","6","2","2","7","8","2","3","8"
"2024/12/12 4:40:42 pm CET","10","1","5","10","9","1","4","9","10","1","5","9","9","1","5","10","10","1","5","10"
"2024/12/12 4:42:46 pm CET","10","1","5","9","10","1","4","10","9","2","4","9","10","1","4","10","9","1","5","9"
"2024/12/12 4:50:19 pm CET","10","1","6","7","10","1","3","2","8","3","7","2","5","1","8","6","10","1","7","4"
"2024/12/12 4:55:14 pm CET","9","1","3","9","8","1","3","8","10","1","3","9","7","3","5","4","9","2","4","8"
"2024/12/12 7:50:39 pm CET","9","2","3","8","8","4","3","5","8","6","5","7","5","5","7","4","9","2","4","4"
